lesson,grammar_point,youtube_link,time_format,timestamp,end,korean_text,english_text,,
Beg L8,G8.1 Seeking agreement: ~지요?,https://youtu.be/yrdlOEbXqp0?si=Z3_hQPeLEeh09StT,[00:34:38] ,2078,2082,우리 진아 씨가 또 대만에서 단독 콘서트를 했죠?,"Our Jina, you had another solo concert in Taiwan, didn't you?",,
Beg L8,G8.2 Demonstrative expressions: 이/그/저,https://youtu.be/kl-NaR9E8nA?si=Tkf1G8hHDDRZ0koM,[00:05:51],351,357,"근데 이거 여기서만 풀 수 있는 얘긴데, 보통 RM이 가사를 써서 주거든요.","By the way this is something we can only talk about here. Normally, RM writes the lyrics and gives them to us.",,
Beg L8,G8.3 Deferential style ~(스)ㅂ니다/(스)ㅂ니까?,https://youtu.be/nVXNlMInalo?si=PmHzaMKh4c6Aqwjd,[01:04:05],3845,3851,"진짜루 제가... 더 늦기 전에 꼭 찾아뵙겠습니다, 선생님.","Really, I will definitely visit you before it's too late, sir.",,
Beg L8,G8.3 Deferential style ~(스)ㅂ니다/(스)ㅂ니까?,https://youtu.be/94IpRJfCXyA?si=yocF5RenilB308ZS,[01:02:16],3736,3739,신작으로 금방 찾아뵙겠습니다.,I will see you soon with a new work.,,
Beg L8,G8.3 Deferential style ~(스)ㅂ니다/(스)ㅂ니까?,https://youtu.be/yrdlOEbXqp0?si=0NBrXc6dYML24jYk,[00:10:35] ,635,640,안녕하십니까?,hello?,,
Beg L8,G8.3 Deferential style ~(스)ㅂ니다/(스)ㅂ니까?,https://youtu.be/yrdlOEbXqp0?si=0NBrXc6dYML24jYk,[00:47:22],2842,2847,"안녕하세요, 배우 유연석입니다.","Hello, I am actor Yoo Yeon-seok.",,
Beg L8,G8.4 N(으)로 'toward N',https://youtu.be/UXlv6J0C-ac?si=gGB008Jk0C4kQxla,[00:03:51],231,236,아 기사님! 저기 이쪽으로 좀 부탁드릴게요.,"Excuse me, driver! please go a little in this direction.",,
Beg L8,G8.4 N(으)로 'toward N',https://youtu.be/1S-bwNEZTlE?si=WSe8yGOxcFd10vXS,[00:13:46],826,829,"자, 이쪽으로, 이쪽으로 오시죠. 이쪽으로.","Okay, come this way please, this way. Over here.",,
Beg L8,G8.4 N(으)로 'toward N',https://youtu.be/b3E4UoGNz8c?si=uKnaeF8Vn15GvxEb,[00:00:23],23,27,한강신도시 쪽으로 가는 철도입니다.,It is a railroad that goes towards Han River New City.,,
Beg L8,G8.4 N(으)로 'toward N',https://youtu.be/b3E4UoGNz8c?si=uKnaeF8Vn15GvxEb,[00:16:59],1019,1036,"처음에는 '안쪽으로 더 많이 들어오세요'라는 방송을 해야 하는데, 내가 만약에 또 안쪽으로 들어오라고 안내 방송을 하면 ","At first, I need to announce, ""Please come in further."" If I announce again to come in further...",,
Beg L8,G8.5 Irregular predicates in /ㄹ/,https://youtu.be/Vhqhq8HwBwI?si=-4mCVqyVMR3oCFr4,[00:10:26],626,634,죄송한데 두 분 이거 아세요?,"I'm sorry, but do you two know this? ",,
Beg L8,G8.5 Irregular predicates in /ㄹ/,https://youtu.be/5w8Zhig-Usg?si=3Wdml66XXfsiMGVz,[00:22:16],1336,1345,"저는 여수에 사는 송지효님의 팬 김광성이라고 합니다. 아세요? 아, 네. 압니다. 아시는 분이에요?","I'm Kim Kwang-sung, a fan of Song Ji-hyo who lives in Yeosu. Do you know him? Oh, yes, I know him. Is he a person that you know?",,
Beg L9,L9C2 New Expressions: 어떻게 되세요?,https://youtu.be/jEXoFuu8Uxs?si=9ZNdQczaYXjyCS3g,[00:00:16],16,20,"성함이 어떻게 되세요? 네, 이현우라고 합니다.","What is your name? Yes, my name is Lee Hyun-woo.",,
Beg L9,L9C2 New Expressions: 어떻게 되세요?,https://youtu.be/cKZJpxmTWaM?si=-Of02sCy11pvY7Wf,[00:00:00],0,12,올해 연세가 어떻게 되세요? 백일곱 살(이요). 이렇게 오래 산 사람 처음 보죠? 네. 할머니 성함은요? 노명순(이요).,"How old are you this year? I'm one hundred and seventeen years old. It's the first time you've seen someone live this long, isn't it? Yes. What is your name? My name is No, myeongsun.",,
Beg L9,G9.1 Expressing goal or source: N한테/께 vs. N한테서,https://youtu.be/yERqu1LQJs4?si=M31WAXaEos_oQ63S,[00:08:07],487,492,은혜한테서 문자 왔어.,I got a text from Eunhye.,,
Beg L9,G9.1 Expressing goal or source: N한테/께 vs. N한테서,https://youtu.be/I7zenrB8Rmo?si=IHuN9U6SfDN6EYse,[00:07:09],429,432,자기 딸한테만 돈 씀.,He only spends money on his daughter.,,
Beg L9,G9.1 Expressing goal or source: N한테/께 vs. N한테서,https://youtu.be/I7zenrB8Rmo?si=y4MTJYn5BrkXZ2rk,[00:12:20],740,743,이광수 씨 시청자 여러분께 인사 좀 해주세요.,"Mr. Lee Kwang-soo, please say hello to our viewers.",,
Beg L9,G9.2 The noun-modifying form [Adj~(으)ㄴ]+N,https://youtu.be/94IpRJfCXyA?si=w6oyYc2AZv-4CIsq,[00:49:20],2960,2968,"진짜 재미있는 작품을 만들기 위해서 많은 분들이 함께 노력을 합니다만, 결국 우리는 이제 평가를 받아야 되는 직업이니까.","Although many people work together to create truly interesting works, ultimately we are professionals who must be evaluated.",,
Beg L9,G9.2 The noun-modifying form [Adj~(으)ㄴ]+N,https://youtu.be/UXrlLtBhrTA?si=kddg6atBYqf9eyEA,[00:34:17],2057,2063,그럼 제일 재미있으면 놔둬! 재미있는 애들을 왜 컨트롤하려고 그래? 그래 너보다도 잘 나가는데 왜 그래?,"Then, if they are the most fun, leave it! Why are you trying to control the most fun people? Yeah, why are you doing that when they're doing better than you?",,
Beg L9,G9.2 The noun-modifying form [Adj~(으)ㄴ]+N,https://youtu.be/0cWKAJFnBVA?si=BMkHHVZCnnzdz8Nm,[00:07:44],464,470,이서진 사장님과 가장 많은 시간을 보낸 건 사실 최우식 인턴이거든요.,"In fact, it's true that intern Choi Woo-shik spent the most time with CEO Lee Seo-jin.",,
Beg L9,G9.3 Honorific expressions,,,,,,,,
Beg L9,G9.4 The subject honorific ~(으)시,,,,,,,,
Beg L9,G9.5 The clausal connective ~지만,https://youtu.be/5wNtSynSBuA?si=8FfWCUzJE8485-xm,[00:52:39],3159,3163,광수야 졌잘싸! (졌지만 잘 싸웠다!),"Kwangsoo, you lost, but you fought well!",,
Beg L9,G9.5 The clausal connective ~지만,https://youtu.be/Vhqhq8HwBwI?si=rHYHB6hQP115FNPu,[00:13:05],785,789,"야, 그런데 너 이거 내가 다른 팀이지만 다 왔어. 열심히 해 봐.","Hey, even though we're on different teams, you're almost there with your answers. Do your best.",,
Beg L10,G10.1 The clausal connective ~(으)ㄴ/는데,,,,,,,,
Beg L10,G10.2 Expressing desire: ~고 싶다/싶어 하다,,,,,,,,
Beg L10,G10.3 The sentence ending ~(으)ㄴ/는데요,,,,,,,,
Beg L10,G10.4 The clausal connective ~어서/아서 (cause),,,,,,,,
Beg L10,G10.5 The noun-modifying form [Verb~는]+N,,,,,,,,
Beg L11,G11.1 The progressive form ~고 있다,,,,,,,,
Beg L11,G11.2 Intentional ~(으)ㄹ래요,,,,,,,,
Beg L11,G11.3 N(이)나 vs. N밖에,,,,,,,,
Beg L11,G11.4 Asking someone's opinion: ~(으)ㄹ까요?,,,,,,,,
Beg L12,G12.1 The clausal connective ~어서/아서 (sequential),,,,,,,,
Beg L12,G12.2 Conjectural ~겠~,,,,,,,,
Beg L12,G12.3 The sentence ending ~네요,,,,,,,,
Beg L12,G12.4 Irregular predicates with /ㅎ/,,,,,,,,
Beg L12,G12.5 The noun-modifying form [Verb~(으)ㄴ]+N(past),,,,,,,,
Beg L13,G13.1 The benefactive expression:~어/아 주다,,,,,,,,
Beg L13,G13.2 Expressing obligation or necessity: ~어/아야 되다,,,,,,,,
Beg L13,G13.3 The sentence ending ~(으)ㄹ게요,,,,,,,,
Beg L13,G13.4 Noun 때문에,,,,,,,,
Beg L13,G13.5 Intentional ~겠~,,,,,,,,
Beg L14,G14.1 N(이)라서 'because it is N',,,,,,,,
Beg L14,G14.2 The negative ~지 못하다,,,,,,,,
Beg L14,G14.3 The adverbial form ~게,,,,,,,,
Beg L14,G14.4 Negative commands ~지 마세요,,,,,,,,
Beg L14,G14.5 Irregular predicates in 르,,,,,,,,
Beg L15,G15.1 ~(으)ㄹ 수 있다/없다 'can/cannot',,,,,,,,
Beg L15,G15.2 Compound verbs,,,,,,,,
Beg L15,G15.3 ~(으)면서 'while ~ing',,,,,,,,
Beg L15,G15.4 The noun-modifying form [Verb~(으)ㄹ]+N(prospective),,,,,,,,
Beg L15,G15.5 The clausal connective ~고 나서,,,,,,,,
Beg L16,G16.1 ~어/아 보다 'try doing',,,,,,,,
Beg L16,G16.2 The clausal connective ~기 때문에 (reason),,,,,,,,
Beg L16,G16.3 Giving and offering: ~어/아 드리다,,,,,,,,
Beg L16,G16.4 Negation: ~지 않다,,,,,,,,
Beg L16,G16.5 The comparative 보다 (더) 'more than',,,,,,,,
Int L1,L1C1 New Expressions: 시원하다,https://youtu.be/A3ycNSmWVEQ?si=OGc5POIraumW6Dh9,[00:15:21] ,921,927,뜨거운 거 먹고 '어 시원하다'. 어렸을 때는 전혀,"Eating something hot and saying, ""Oh, it's so refreshing."" I didn't understand it at all when I was young.",,
Int L1,L1C1 New Expressions: 시원하다,https://youtu.be/Vhqhq8HwBwI?si=SoNZzabJTpnZ5YA9,[00:02:33] ,153,162,"저는 '남자'인가요, '여자'인가요? 남자예요. 네, 남잡니다, 남자. 종국이 형 시원시원하다. 그럼, 거짓말 하면 안 되니까.","Am I a ""man"" or a ""woman""? (referring to the word on her forehead). The name is for a man. Jong-kook is very straightforward. Yeah, I shouldn't lie.",,
Int L1,"G1.1~어지다'become, get to be'",https://youtu.be/I7zenrB8Rmo?si=A2NkUMmlNaR2tsLL,[00:01:33],93,99,"젊어졌어~ 젊어졌어요, 형. 젊어져도 한계가 있어.","You got younger~ You got younger, bro. Even if he become younger, there are limits.",,
Int L1,G1.2 ~잖아요'You know',https://youtu.be/Vhqhq8HwBwI?si=gCfuHCz6lBo_vxgD,[00:20:03],1202,1205,"이건 줘도 되잖아요. 남자예요, 남자.","I can give him this (this hint), right? (The name written on the forehead) is a man, a man.",,
Int L1,G1.2 ~잖아요'You know',https://youtu.be/qGdfOXiPTgQ?si=aOK0uzDz3Mz_MVJ8,[00:00:02],2,9,"어우 오빠, 'A'로 시작하는 거 너무 많잖아요. ","Oh, bro, there are so many things that start with ‘A’.",,
Int L1,G1.3~던 noun-modifying form,https://youtu.be/5wNtSynSBuA?si=o2uSGEONO5_djDSX,[00:37:54],2274,2277,내가 숨었던 데를 찾아봐야겠다.,I need to search where I was hiding.,,
Int L1,G1.3~던 noun-modifying form,https://youtu.be/5wNtSynSBuA?si=cFucniEfsqpVY5M3,[00:27:56],1676,1685,(이 빨대) 양세찬 배꼽에 들어갔던 거야...,This straw went into Yang Se-chan's belly button.,,
Int L1,G1.4~으면 좋겠다,https://youtu.be/5wNtSynSBuA?si=h4Qy3CXxoqlLnnQZ,[01:26:05],5165,5171,"누나, 뭐 개인적으로 원하는 거 있어? 저는 광수가 머리를 좀 묶었으면 좋겠어요.","Sis, is there anything you personally want? I wish Kwang-soo would tie his hair up a bit.",,
Int L1,G1.5 N때 'when',https://youtu.be/5wNtSynSBuA?si=UH3nGgIMQedPwCZk,[01:20:00],4800,4804,카메라 돌 때 훔쳤어요!,I stole it while the camera was rolling!,,
Int L2,G2.1 V.S.~으려고(하다) 'intend to',https://youtu.be/F3ofAovTw20?si=LzS1WfBRZTbSn4VJ,[00:07:27],447,451,승관이가 괜히 웃기려고 좀 오버페이스 하는 게 있어요.,Seung-kwan tends to overdo it a bit to be funny.,Seungkwan over-faced it just to make it funny.,Seungkwan goes overboard to be funny.
Int L2,G2.1 V.S.~으려고(하다) 'intend to',https://youtu.be/1S-bwNEZTlE?si=WSe8yGOxcFd10vXS,[00:14:05] ,845,848,뽑기를 좀 하려고 합니다,I'm going to do some drawing.,,
Int L2,G2.2 V.S.~기가 쉽다/어렵다 'it is easy/difficult to',https://youtu.be/SRyk6t77Er8?si=6OI8pbh1s5xe0cty,[00:53:41],3221,3226,"구독하는 데가 너무 많으니까, 이게 사실 구독한 거 다 보기가 힘들어!","Because there are so many subscribed channels, it's actually hard to watch everything I subscribed to!",,
Int L2,G2.2 V.S.~기가 쉽다/어렵다 'it is easy/difficult to',https://youtu.be/Nc2DrWcHLu0?si=r8nYVqTQmhZ1Twr5,[00:01:26],86,88,재채기와 사랑은 숨기기가 힘들다...,Sneezing and love are difficult to hide.,,
Int L2,G2.3 N1말고 N2 'not N1 but N2',https://youtu.be/qGdfOXiPTgQ?si=02QqEYDwISlRIx9h,[00:23:31],1411,1413,그럼 영단어 말고 다른 걸로 바꿔드릴게요.,Then I'll change it to something different instead of English words.,,
Int L2,G2.3 N1말고 N2 'not N1 but N2',https://youtu.be/RL17E0VPeT4?si=ANUSOocdufPhcqWt,[00:07:28],448,450,걷지 말고 뛰어라!,Don't walk but run!,,
Int L2,G2.4 V.S.~어도 되다/~으면 안 되다,https://youtu.be/og-vF8E39Q8?si=DakrPrqS6ZtOOXZ-,[00:13:59],839,845,찬혁 씨는 딴(=다른) 생각 하셔도 돼요. 심심한데 그냥 여기서 리듬이나 타고 있어도 돼요?,"Chanhyuk, you can think about something else. I'm bored, so can I just groove here?",,
Int L2,G2.4 V.S.~어도 되다/~으면 안 되다,https://youtu.be/o1HzQfvaIXE?si=A18Vhx8vzVtc8Gu4,[00:20:32],1232,1235,무리하지 않아도 돼요,You don't have to force yourself.,,
Int L2,G2.4 V.S.~어도 되다/~으면 안 되다,https://youtu.be/1S-bwNEZTlE?si=s5LDA6ttoSq7HTHO,[00:17:30],1050,1054,이렇게 예비군 갔다 바로 와도 돼요?,Can you come right after your military reserve training?,,
Int L2,G2.5 V.S.~는 것 같다 'It seems',https://youtu.be/5wNtSynSBuA?si=q-sr_OdLNtTMK8OF,[00:59:41],3581,3586,누가 오는 것 같아요. 그렇죠?,"It seems like someone is coming, right?",,
Int L2,G2.5 V.S.~는 것 같다 'It seems',https://youtu.be/Vhqhq8HwBwI?si=NRu6gIxs69VbHWb2,[00:13:44],824,827,나 이제 알았어. 알아챈 것 같아요.,I understand now. I think I figured it out.,,
Int L3,G3.1~게 되다 change of events,,,,,,,,
Int L3,G3.2~으면 되다 'have only to',,,,,,,,
Int L3,G3.3 었었 doubling of 었,,,,,,,,
Int L3,G3.4~어 본 적(이) 있다/없다 'there has been an/no occasion of',,,,,,,,
Int L3,G3.5~으니까 express a reason,https://youtu.be/Vhqhq8HwBwI?si=SoNZzabJTpnZ5YA9,[00:02:33] ,153,162,"저는 '남자'인가요, '여자'인가요? 남자예요. 네, 남잡니다, 남자. 종국이 형 시원시원하다. 그럼, 거짓말 하면 안 되니까.","Am I a ""man"" or a ""woman""? (referring to the word on her forehead). The name is for a man. Jong-kook is very straightforward. Well, I can't lie.",,
Int L4,G4.1~는 길이다/~는 길에 'on one's way',,,,,,,,
Int L4,G4.2~거든요 'you see',,,,,,,,
Int L4,G4.3 N이요 'It is N',,,,,,,,
Int L4,G4.4~으려면 'if intends to do',,,,,,,,
Int L4,G4.5~어야지요 'definitely have to',,,,,,,,
Int L5,G5.1~어The intimate speech style,,,,,,,,
Int L5,G5.2~은 편이다 'It is more the case of than the other',,,,,,,,
Int L5,G5.3~는지 알다/모르다 'know/don't know whether',,,,,,,,
Int L5,G5.4~은지 얼마나 됐어요? 'How long has it been since?',,,,,,,,
Int L5,G5.5~다가 transference of an action to another,,,,,,,,
Int L6,G6.1~는다 The plain speech style,,,,,,,,
Int L6,G6.2 The use of the plain style in speaking,,,,,,,,
Int L6,G6.3 V.S.~기로 하다 'plan/decide to',,,,,,,,
Int L6,G6.4~다고/냐고/라고/자고 하다 Indirect quotation,,,,,,,,
Int L6,G6.5 아무리~어도 'no matter how',,,,,,,,
Int L7,G7.1~어 보이다 'someone/something appears/looks',,,,,,,,
Int L7,G7.2 Passive verbs,,,,,,,,
Int L7,G7.3~어 있다 'in the state of being',,,,,,,,
Int L7,"G7.4~어 가지고 'because/since','by doing/being'",,,,,,,,
Int L7,G7.5~는 데(에) 'in/for~ing',,,,,,,,
Int L8,G8.1~지? The indirect question,,,,,,,,
Int L8,G8.2~을 테니까 'as (I) intend/expect',,,,,,,,
Int L8,G8.3~느라고 'as a result of~ing',,,,,,,,
Int L8,G8.4~은 줄 알다/모르다 'know/knew',,,,,,,,
Int L9,G9.1 하다 vs 되다,,,,,,,,
Int L9,G9.2~게 하다 'make someone/something',,,,,,,,
Int L9,G9.3~는 거예요/거야 'The fact is',,,,,,,,
Int L9,G9.4~이/히/리/기/우 Causative,,,,,,,,
Int L10,G10.1~었다(가) Expressing change in momentum,,,,,,,,
Int L10,G10.2~더라고(요) Expressing the speaker's past experience,,,,,,,,
Int L10,G10.3~어(서) 죽겠다 'to death',,,,,,,,
Int L10,G10.4~기도 하다 'sometimes..too',,,,,,,,
Int L10,G10.5~어 버리다 'do completely',,,,,,,,
Int L11,G11.1 V.S.~나 보다/A.S.~은가 보다 'It seems/I guess',,,,,,,,
Int L11,G11.2~기는~다/하다 'did..but',,,,,,,,
Int L11,G11.3~거나 'V1 or V2',,,,,,,,
Int L11,G11.4~대요/이래요 Expressing hearsay,,,,,,,,
Int L11,G11.5 N~이라면 'If it were/is',,,,,,,,
Int L12,"G12.1 AS~은가요/VS~나요? 'Is it (the case), like'",https://youtu.be/Vhqhq8HwBwI?si=SoNZzabJTpnZ5YA9,[00:02:33] ,153,162,"저는 '남자'인가요, '여자'인가요? 남자예요. 네, 남잡니다, 남자. 종국이 형 시원시원하다. 그럼, 거짓말 하면 안 되니까.","Am I a ""man"" or a ""woman""? (referring to the word on her forehead). The name is for a man. Jong-kook is very straightforward. Well, I can't lie.",,
Int L12,G12.2~을걸 (그랬어요) Expressing regret,,,,,,,,
Int L12,G12.3~으려다가 'about to..but then',,,,,,,,
Int L12,G12.4~군요/구나 Expressing new discovery,,,,,,,,
Int L12,G12.5~이든지 'any',,,,,,,,
Int L13,G13.1~는데도 'despite the fact that',,,,,,,,
Int L13,G13.2~으면~을수록 'the more the more',,,,,,,,
Int L13,G13.3~을 뻔하다 'almost happened',,,,,,,,
Int L13,G13.4~었/았더니 'I did..and then',,,,,,,,
Int L14,G14.1~다면서/라면서? Confirming information,,,,,,,,
Int L14,G14.2 V.S.~자마자 'as soon as',,,,,,,,
Int L14,G14.3~을까 봐 'for fear that',,,,,,,,
Int L14,G14.4~을지 (생각하다) 'wondering about',,,,,,,,
Int L14,G14.5~었으면 하다 'wish~ed',,,,,,,,
